MATRICE DE COMPARAISON,FMesure moyen (%): 1.51515151515
,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11
Reference cluster 0,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.1111111111111111, 0.3333333333333333, 0.1666666666666629)","(0.0, 0.0, 0.0)","(0.2, 0.6666666666666666, 0.30769230769230416)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
Reference cluster 1,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.07692307692307693, 0.3333333333333333, 0.12499999999999696)","(0.14285714285714285, 0.6666666666666666, 0.2352941176470559)","(0.0, 0.0, 0.0)"
Reference cluster 2,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.16666666666666666, 0.25, 0.1999999999999952)","(0.14285714285714285, 0.25, 0.1818181818181772)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.1111111111111111, 0.5, 0.18181818181817883)"
Reference cluster 3,"(0.0, 0.0, 0.0)","(0.4, 0.2857142857142857, 0.3333333333333285)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.1111111111111111, 0.14285714285714285, 0.12499999999999509)","(0.0, 0.0, 0.0)","(0.2, 0.2857142857142857, 0.235294117647054)","(0.16666666666666666, 0.2857142857142857, 0.21052631578946904)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
Reference cluster 4,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.1, 0.3333333333333333, 0.1538461538461503)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.07142857142857142, 0.3333333333333333, 0.1176470588235265)","(0.05555555555555555, 0.3333333333333333, 0.0952380952380928)"
Reference cluster 5,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.2857142857142857, 0.16666666666666666, 0.21052631578946904)","(0.1111111111111111, 0.08333333333333333, 0.09523809523809035)","(0.3, 0.25, 0.27272727272726777)","(0.1, 0.08333333333333333, 0.09090909090908594)","(0.08333333333333333, 0.08333333333333333, 0.08333333333332833)","(0.07692307692307693, 0.08333333333333333, 0.07999999999999502)","(0.07142857142857142, 0.08333333333333333, 0.07692307692307195)","(0.1111111111111111, 0.16666666666666666, 0.13333333333332853)"
Reference cluster 6,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.1111111111111111, 0.25, 0.15384615384614958)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.08333333333333333, 0.25, 0.12499999999999625)","(0.07692307692307693, 0.25, 0.11764705882352582)","(0.0, 0.0, 0.0)","(0.05555555555555555, 0.25, 0.09090909090908793)"
Reference cluster 7,"(0.5, 0.5, 0.499999999999995)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.16666666666666666, 0.5, 0.24999999999999625)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)"
Reference cluster 8,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.14285714285714285, 0.14285714285714285, 0.14285714285713785)","(0.2222222222222222, 0.2857142857142857, 0.2499999999999951)","(0.1, 0.14285714285714285, 0.11764705882352457)","(0.0, 0.0, 0.0)","(0.16666666666666666, 0.2857142857142857, 0.21052631578946904)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.05555555555555555, 0.14285714285714285, 0.07999999999999598)"
Reference cluster 9,"(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.0, 0.0, 0.0)","(0.08333333333333333, 0.16666666666666666, 0.11111111111110666)","(0.15384615384615385, 0.3333333333333333, 0.21052631578946937)","(0.21428571428571427, 0.5, 0.29999999999999577)","(0.0, 0.0, 0.0)"
